label,word,count
1,không,28430
1,,25470
1,hàng,20851
1,có,20516
1,mình,16536
1,nhưng,16330
1,được,15415
1,bị,14772
1,ko,14640
1,thì,14109
1,giao,13903
1,là,10770
1,như,10414
1,mua,10321
1,sách,10165
1,hơi,9687
1,sản,9620
1,phẩm,9467
1,và,9338
1,nên,8899
1,dùng,8300
1,mà,8214
1,giá,8049
1,thấy,7640
1,cho,7440
1,với,7401
1,lại,7290
1,cũng,7256
1,k,7096
1,chất,7091
1,chưa,7037
1,nhận,6975
1,rất,6941
1,quá,6859
1,này,6592
1,khi,6391
1,tiki,6169
1,tốt,6095
1,lượng,5812
1,nhanh,5751
1,của,5720
1,mới,5677
1,ok,5594
1,hơn,5565
1,đã,5503
1,để,5464
1,lắm,5460
1,ra,5400
1,sao,5387
1,gói,5282
1,tạm,5161
1,ổn,5015
1,nhiều,4941
1,trong,4923
1,shop,4898
1,phải,4879
1,dụng,4877
1,hình,4840
1,chỉ,4746
1,khá,4580
1,cái,4543
1,đóng,4528
1,đẹp,4480
1,biết,4421
1,còn,4354
1,về,4343
1,lần,4301
1,màu,4193
1,sử,4054
1,máy,4027
1,bình,4025
1,đc,3988
1,hay,3809
1,đặt,3680
1,hộp,3507
1,thường,3504
1,nhỏ,3483
1,nào,3467
1,vào,3381
1,vì,3332
1,rồi,3275
1,đúng,3236
1,bên,3228
1,làm,3199
1,gì,3155
1,sau,3102
1,vẫn,3069
1,hết,2972
1,khó,2934
1,cảm,2922
1,lâu,2916
1,vậy,2890
1,đầu,2884
1,chắc,2866
1,ở,2770
1,một,2756
1,trên,2749
1,tiền,2746
1,hợp,2704
1,khác,2688
1,xài,2643
1,các,2623
1,so,2610
1,ngày,2575
1,dễ,2571
1,lúc,2517
1,tôi,2461
1,sẽ,2457
1,đọc,2440
1,nhìn,2436
1,dung,2429
1,mùi,2417
1,đánh,2410
1,nói,2404
1,vọng,2396
1,nghe,2358
1,sp,2341
1,mỏng,2328
1,lòng,2313
1,mong,2303
1,tặng,2295
1,nước,2283
1,thể,2258
1,thôi,2253
1,tuy,2251
1,người,2235
1,nhiên,2235
1,cả,2227
1,độ,2225
1,do,2217
1,đi,2203
1,đổi,2190
1,bảo,2165
1,lên,2121
1,phần,2096
1,đến,2091
